Arcade Station|25 Charts|_H
무혼(武魂) 1.5 (Solitary 1.5)|Crazy|https://youtu.be/bzTCfPlIpgs
무혼(武魂) 1.5 (Solitary 1.5)|Nightmare|https://youtu.be/-KzL4DC8tzk
무혼(武魂) 1.5 (Solitary 1.5)|LightMap|
반갑습니다 (Nice To Meet You)|Hard|https://youtu.be/JFkfGXkZIhs
반갑습니다 (Nice To Meet You)|Nightmare|https://youtu.be/V3NOzCuXjTI
반갑습니다 (Nice To Meet You)|LightMap|
아주 오래된 연인들 (Very Old Couples)|Normal|https://youtu.be/HSmcc3WhqjI
아주 오래된 연인들 (Very Old Couples)|Hard|https://youtu.be/HSmcc3WhqjI
아주 오래된 연인들 (Very Old Couples)|Crazy|https://youtu.be/D9lqc8s7MvQ
아주 오래된 연인들 (Very Old Couples)|Freestyle|https://youtu.be/0hZ1wLepNnc
아주 오래된 연인들 (Very Old Couples)|Nightmare|https://youtu.be/t_it61kLZFY
아주 오래된 연인들 (Very Old Couples)|LightMap|
햇살 좋은날 (Shiny Day)|Nightmare|https://youtu.be/SVGuZR_IpBs
햇살 좋은날 (Shiny Day)|LightMap|
후회 (Compunction)|LightMap|
Caprice Of Otada|LightMap|
Energizer|Normal|https://youtu.be/5JfwlnZXMBw
Energizer|Hard|https://youtu.be/5JfwlnZXMBw
Energizer|Crazy|https://youtu.be/HfmqltXA0lE
Energizer|Freestyle|https://youtu.be/HMH_7bJvDCg
Energizer|Nightmare|https://youtu.be/J_U9u7MvWD0
Energizer|LightMap|
Faster Z|Normal|https://youtu.be/WP2FzEvKEkI
Faster Z|Hard|https://youtu.be/WP2FzEvKEkI
Faster Z|Crazy|https://youtu.be/Ok7zruVo3Ik
Faster Z|Freestyle|https://youtu.be/1Y8WM2zXxNE
Faster Z|Nightmare|https://youtu.be/Bj7Z6lRSVyE
Faster Z|LightMap|
Feel The Soul|Normal|https://youtu.be/23GxcBZI_BU
Feel The Soul|Hard|https://youtu.be/23GxcBZI_BU
Feel The Soul|Crazy|https://youtu.be/MOb71p1cCuU
Feel The Soul|Freestyle|https://youtu.be/lPJf5_VzKgA
Feel The Soul|Nightmare|https://youtu.be/CAwpiYoTpz0
Feel The Soul|LightMap|
Special Zone / Another|15 Charts|_H
그래서 (So)|Another Normal|
그래서 (So)|Another Hard|https://www.youtube.com/watch?v=Xtit-zv48Cs&ab_channel=TigerYK
그래서 (So)|Another Crazy|https://youtu.be/tezm7Qh4W6c
그래서 (So)|Another Freestyle|https://youtu.be/AFVWSAeVuu0
그래서 (So)|Another Nightmare|https://youtu.be/CVrYk2nAXNI?t=10979
미운 오리새끼 (Ugly Dee)|Another Freestyle|https://youtu.be/Yi2utJ3lkqA
미운 오리새끼 (Ugly Dee)|Another Nightmare|https://youtu.be/zuSDm3leI2Q
미운 오리새끼 (Ugly Dee)|Another LightMap|
불놀이야 (Fire Game)|Another Hard|https://www.youtube.com/watch?v=yrz3YS3tHK4&t=143s&ab_channel=echospherics
불놀이야 (Fire Game)|Another Crazy|https://youtu.be/p06S35bWBxA
불놀이야 (Fire Game)|Another Nightmare|https://youtu.be/zFkpvPPT0I0
A. U Ready?|Another Freestyle|https://www.youtube.com/watch?v=c_M_WSt8TbE&ab_channel=dlon9
A. U Ready?|Another Nightmare|https://www.youtube.com/watch?v=S88ITPCRmCg&t=22s&ab_channel=TigerYK
Come To Me|Another Hard|https://youtu.be/c1ulgM1O05E
Come To Me|Another Crazy|https://youtu.be/BWW2-uCde0c
Come To Me|Another Nightmare|https://www.youtube.com/watch?v=8tj_Zc396R8&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Come To Me|Another LightMap|
Hi Bi|Another Nightmare<br>Rune & Ehne|https://www.youtube.com/watch?v=IfJm-Pe_VRo&t=8s&ab_channel=MeChrisLee
Special Zone / Remix|8 Charts|_H
Banya-P Guitar Remix|Crazy|https://www.youtube.com/watch?v=_OyyM5WDMRA&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Banya-P Guitar Remix|Nightmare|https://www.youtube.com/watch?v=hxHXWe9fO4g&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Banya-P Guitar Remix|LightMap|
NX2 K-Pop Remix 1|Hard|https://youtu.be/qbdjXVDwp6I
NX2 K-Pop Remix 1|Crazy|https://youtu.be/qbdjXVDwp6I
NX2 K-Pop Remix 1|Freestyle|
NX2 K-Pop Remix 1|Nightmare|https://www.youtube.com/watch?v=rAb3qnJkOZ8
NX2 K-Pop Remix 1|LightMap|
NX2 K-Pop Remix 2|Hard|https://www.youtube.com/watch?v=CTHOgAvLXVo&ab_channel=PumpHungary
NX2 K-Pop Remix 2|Nightmare|https://www.youtube.com/watch?v=MJfWMUMTYjg&ab_channel=Turkeyslam
NX2 K-Pop Remix 2|LightMap|
Training Station|No. 37, 40 (6 Modes)|_H
Love is a Danger Zone|No. 37-1|https://youtu.be/Ba4TMcdbKCk
Witch Doctor|No. 37-2|https://youtu.be/Ba4TMcdbKCk?t=134
Phantom (Acc Ver.)|No. 37-3|https://youtu.be/Ba4TMcdbKCk?t=254
Mr. Larpus|No. 40-1<br>Freestyle L/R Edit|https://youtu.be/eV02z-h5f-0
Witch Doctor #1|No. 40-2<br>Nightmare L/R Edit|https://youtu.be/eV02z-h5f-0?t=133
Pumptris Quattro|No. 40-3|https://youtu.be/eV02z-h5f-0?t=264
World Max|151 Missions (by N)|_H
Canon D|Rootinia : First Step|https://youtu.be/aW1UhqtbCEw
Beethoven Virus|Rootinia : Never Die|https://youtu.be/1OB9G524_Y8
Chopstix|Rootinia : Routine 4|https://youtu.be/vVUhpJ1jpXk
영원한 사랑 (Forever Love)|Rootinia : Basic|https://youtu.be/xU_ApJ4Dhq8
ZERO K-Hiphop Remix|Rootinia : * Overdeath|https://youtu.be/87FuvhoEjxw
Money Fingers|Rootinia : Mon*ey|https://youtu.be/kGZX2xGnovo
X-Treme|Rootinia : Alteration|https://youtu.be/RNB9EosEZ18
Shake It Up|Rootinia : Routine 5|https://youtu.be/tk1EXqorPts
Pumptris Quattro|Rootinia : Quattro #0|https://youtu.be/R6DG21Lfrfo
Pumptris Quattro|Rootinia : Quattro #1|https://youtu.be/spfYJR1V1TU
Pumptris Quattro|Rootinia : Quattro #2|https://youtu.be/jx7i8jkun2U
Pumptris Quattro|Rootinia : Quattro #3|https://youtu.be/poVXBn-5PVw
NX2 K-Hiphop Remix|Rootinia : Mix Up 2|https://youtu.be/y4QgYMNjNKI
Final Audition|Rootinia : 1st Audition|https://youtu.be/ppPsh8QvTKI
Turkey March|Rootinia : Mirror|https://youtu.be/jVuv2yW74Do
Guitar Man|Rootinia : Routine 6|https://youtu.be/4euxYKZbqdk
아주 오래된 연인들 (Very Old Couples)|Rootinia : Short Term Memory|https://youtu.be/B0Xp86Ar3s4
Money Fingers 2|Rootinia : Routine 7|https://youtu.be/L6D5tLbcXI8
Novasonic Remix|Rootinia : Mix Up 3|https://youtu.be/HM7GZdIWrbU
Slam|Rootinia : [ Temple ]|https://youtu.be/HoRw_kC6f7E
미운 오리새끼 (Ugly Dee)|Rootinia : Swan|https://youtu.be/xihixCAdeFY
그대에게 (For You) Fullver.|Rootinia : [ Castle ]|https://youtu.be/29QyZvJuj9g
Beat of The War 2|Rootinia : Nightmare Beat|https://youtu.be/JvxNpOtE438
Love Is A Danger Zone pt.2|Rootinia : Non-Powerful|https://youtu.be/xMXCGyo89Gg
좌절금지 (Stop Frustration)|Shantomia : Routine 8|https://youtu.be/fr9AT6iAdG4
Street Show Down|Shantomia : Vanish|https://youtu.be/3_8QtJuaWi8
Dance All Night|Shantomia : Dance|https://youtu.be/PYobBKj-dZ4
Money|Shantomia : Throwaway|https://youtu.be/b45OWh9cudw
신기한 노래 (Astral Song)|Shantomia : Astral|https://youtu.be/5884t7xkhJM
Fly|Shantomia : Light 2|https://youtu.be/vPKFUDpd4dE
Bee|Shantomia : Perplexity 3|https://youtu.be/LwQcL6sc_kI
Guitar Man Fullver.|Shantomia : BanYa M|https://youtu.be/ovZJEuGsvGU
오빠는 풍각쟁이야 (My Brother Is Street Singer)|Shantomia : Here & There|https://youtu.be/iX5THb8pYFY
Money Fingers|Shantomia : Mon*ey 2|https://youtu.be/dMXqt7zOLEA
滿醉 in Melody|Shantomia : The Left Foot|https://youtu.be/JUnACwI9GEw
Haley|Shantomia : Sync|https://youtu.be/LQ7R99Nme0s
J Bong|Shantomia : Nostalgia 2|https://youtu.be/i1qK6RGR1hI
돌아 (Turn Around)|Shantomia : Turn|https://youtu.be/R1VFWhbCIAM
 Freestyle |Shantomia : Freestyle|https://youtu.be/IaiIepZH-Uc
Bemera|Shantomia : Non-Powerful 2|https://youtu.be/1HjkF2f2FTs
Dance Vibrations|Shantomia : Dance 2|https://youtu.be/TU6AfqgZS7Y
Final Audition 2|Shantomia : 2nd Audition|https://youtu.be/4Du8T0SjPLY
Jump|Shantomia : Nostalgia 3|https://youtu.be/8AqErzIN72w
Energizer|Shantomia : Thrill|https://youtu.be/bqG5O7nKXM8
Higgledy Piggledy|Shantomia : Swan 2|https://youtu.be/OHerDOfRMY8
Le Code De Bonne Conduite|Shantomia : SG|https://youtu.be/0J8ev_z128I
Lexy 1Tym Remix|Shantomia : Mix Up 4|https://youtu.be/-mmq-U_5h18
Deux Remix|Shantomia : Fork of a Road #00|https://youtu.be/D41eW3y38HA
Deux Remix|Shantomia : Fork of a Road #10|https://youtu.be/gIWW-wKz1SY
Deux Remix|Shantomia : Fork of a Road #01|https://youtu.be/5yhNwLXYPaU
Deux Remix|Shantomia : Fork of a Road #11|https://youtu.be/BKQCs56VEaI
Enter The Dragon|Shantomia : Aqua Blue|https://youtu.be/K9k2o5vp0uk
내게 남은 사랑을 다 줄께 (I'll Give You All My Love) Fullver.|Shantomia : * J. K. D.|https://youtu.be/4y8WJ8mn9SA
소방관 아저씨 (Mr. Fire Fighter)|Shantomia : Suddenly Appear 2|https://youtu.be/N3FD8Bpd0Zk
Essa Maneira|Shantomia : Fork of a Road 2 #Groove|https://youtu.be/Lyzihf4V-KA
Essa Maneira|Shantomia : Fork of a Road 2 #Wild|https://youtu.be/sfdoTjb4tCE
Funky Tonight|Shantomia : Ghost 2|https://youtu.be/VbQyEig-ImE
Jam O Beat|Shantomia : B-O-Beat|https://youtu.be/XXEvA-y7KHU
흐린 기억속의 그대 (U Inside My Dim Memory) Fullver.|Shantomia : [ Castle 2 ]|https://youtu.be/RSbcKFue56o
Pro Pop Remix|Phantomia : Perplexity 5|https://youtu.be/vrQVNAww8AU
BanYa Hiphop Remix|Phantomia : Perplexity 6|https://youtu.be/XGdpm5uwk20
후회 (Compunction)|Phantomia : +500|https://youtu.be/2EdZh1x_7AY
폭풍 (Typhoon) Fullver.|Phantomia : Suddenly Appear 3|https://youtu.be/Mqqk_BOasFQ
Beat # No.4|Phantomia : Invisible Beat|https://youtu.be/mI7hPVNkeNw
Com' Back|Phantomia : Routine 9|https://youtu.be/nxwchrA3xCA
햇살 좋은 날 (Shiny Day)|Phantomia : Random Access #1|https://youtu.be/G7kCxoJ_6us
Moonlight|Phantomia : MX Style|https://youtu.be/c_JG3vWvEj4
Phantom|Phantomia : Non-Powerful 3|https://youtu.be/6t0iNPY2W2s
Beethoven Virus|Phantomia : Routine 10|https://youtu.be/FjQzKflvYqs
내맘이야 (It's My Business)|Phantomia : [ Necropolis ]|https://youtu.be/ntHsEM7J8qs
소방관 아저씨 (Mr. Fire Fighter) Fullver.|Mirtain : Fire Fighting|https://youtu.be/AVZgugjFv-U
증오 (Hatred)|Mirtain : Magma|https://youtu.be/OqG-2m1oFhc
가 (Go)|Mirtain : Memorial Service|https://youtu.be/2lqaxZha-qk
HOT뜨거 (HOT)|Mirtain : Bomb Beat|https://youtu.be/mGxkJ9xE5WM
Witch Doctor|Mirtain : Hot Trill|https://youtu.be/DPB5iVPitoc
종점 보관소 (Terminal Depository)|Mirtain : BxB|https://youtu.be/Wx7_XVlIFw8
투우사의 노래 (Bullfighter's Song)|Mirtain : Bullfighter S|https://youtu.be/WcL0PcE3-rk
애송이 (Greenhorn)|Mirtain : Dead End|https://youtu.be/nT1SkZf2A-g
Get Up!|Mirtain : Set the Alarm|https://youtu.be/AdnLa6jSRTY
Dr. M|Mirtain : The Left Foot 2|https://youtu.be/EhUMAFmc9zo
Mr. Larpus|Mirtain : Born of Earth|https://youtu.be/GTD3hhp1ZFs
A. U Ready? Fullver.|Mirtain : R.U.NE?|https://youtu.be/m3rRC1X3ta0
아주 오래된 연인들 (Very Old Couples) Fullver.|Mirtain : Heart's Gone|https://youtu.be/EwplGcaft-U
Final Audition 3, Chimera|Mirtain : * Yahpp|https://youtu.be/rv61GVPRnpQ
불놀이야 (Fire Game)|Mirtain : Meteor #Normal|https://youtu.be/LVbOkPjSKAk
불놀이야 (Fire Game)|Mirtain : Meteor #Blank|https://youtu.be/F1yWGQZGc1c
종점 보관소 (Terminal Depository)|Mirtain : Life G|https://youtu.be/hTbzQHYzza4
햇살 좋은 날 (Shiny Day)|Mirtain : Sunlight|https://youtu.be/jMwA18oH0DU
소용돌이 (A Maelstrom)|Mirtain : Armageddon|https://youtu.be/79NV1cuo7YM
넌 내게 반했어 (You Fall in Me) Fullver.|Mirtain : * Ehwa|https://youtu.be/wErb8g6l6P8
무혼(武魂) 2 (Solitary 2)|Mirtain : [ Mir ]|https://youtu.be/IM2EkFKTwYw
Turkey March|Mirtain : Magma 2|https://youtu.be/5VqPwP_g3VU
