Arcade Station|39 Charts|_H

사랑가 2006 (Love Song 2006)|Nightmare|https://youtu.be/dMtOLfGhZ3c
사랑가 2006 (Love Song 2006)|LightMap|

사랑스러워 (Lovely)|Nightmare|https://youtu.be/Xo8Ues-TmxE
사랑스러워 (Lovely)|LightMap|

자유로와 (Free!)|Freestyle|https://youtu.be/bfncc8es9-U
자유로와 (Free!)|LightMap|

종점 보관소 (Terminal Depository)|Crazy|https://youtu.be/uRi_zFarUyM
종점 보관소 (Terminal Depository)|Nightmare|https://youtu.be/AWehyBFxMHw
종점 보관소 (Terminal Depository)|LightMap|

투우사의 노래 (Bullfighter's Song)|Hard|https://youtu.be/B3ljwoRqHhw
투우사의 노래 (Bullfighter's Song)|Crazy|https://youtu.be/hmGD4oxEzQo
투우사의 노래 (Bullfighter's Song)|LightMap|

현진영 Go 진영 Go (Hyun Jin Young Go Jin Young Go)|Crazy|https://youtu.be/ULlq-N-RwKc
현진영 Go 진영 Go (Hyun Jin Young Go Jin Young Go)|Freestyle|https://youtu.be/wyJKhAfw1RY
현진영 Go 진영 Go (Hyun Jin Young Go Jin Young Go)|LightMap|

흐린 기억속의 그대 (U Inside My Dim Memory)|Hard|https://youtu.be/YBh-QbFPKoQ
흐린 기억속의 그대 (U Inside My Dim Memory)|Crazy|https://youtu.be/lbGoSCC4yiM
흐린 기억속의 그대 (U Inside My Dim Memory)|Nightmare|https://youtu.be/a5ieAK4Jwrk
흐린 기억속의 그대 (U Inside My Dim Memory)|LightMap|

Arch of Darkness|Normal|https://youtu.be/32LSuj9hfpI
Arch of Darkness|Crazy|https://youtu.be/TdWmzn9hRZE
Arch of Darkness|LightMap|

Bust Back|Nightmare|https://youtu.be/Plo1sx1TV2M
Bust Back|LightMap|

Chimera|Crazy|https://youtu.be/_OUK3Xx9k1k
Chimera|Nightmare|https://youtu.be/jM0RrCPbDA8
Chimera|LightMap|

Final Audition Episode 2-1|Normal|https://youtu.be/w4USBG6UT3c
Final Audition Episode 2-1|Hard|https://youtu.be/w4USBG6UT3c
Final Audition Episode 2-1|Crazy|https://youtu.be/QgrLNpbyKIA
Final Audition Episode 2-1|Freestyle|https://youtu.be/Q_7OtVmxaJk
Final Audition Episode 2-1|Nightmare|https://youtu.be/AlUYsAI6_XY
Final Audition Episode 2-1|LightMap|

Final Audition Episode 2-2|Normal|https://youtu.be/jKIDJjxVaG8
Final Audition Episode 2-2|Hard|https://youtu.be/jKIDJjxVaG8
Final Audition Episode 2-2|Crazy|https://youtu.be/SmSGQXemmZM
Final Audition Episode 2-2|Freestyle|https://youtu.be/drqWTDDnAuM
Final Audition Episode 2-2|Nightmare|https://youtu.be/9UbK5aqeCxM
Final Audition Episode 2-2|LightMap|

Fly|Hard|https://youtu.be/ks-L05yxkVw
Fly|LightMap|

Go Back|Hard|https://youtu.be/gcfoGDwFAdY
Go Back|Crazy|https://youtu.be/AsWUVA5kKSI
Go Back|Nightmare|https://youtu.be/Tbj43FKBGbI
Go Back|LightMap|

Hold The Line|Nightmare|https://youtu.be/amUcVv0BE8I
Hold The Line|LightMap|

One Night|Crazy|https://youtu.be/JiJ5BdB_63g
One Night|Nightmare|https://youtu.be/X4c2KRE_pjs
One Night|LightMap|

Snow Dream|Hard|https://youtu.be/hYRVLd5yNSU
Snow Dream|LightMap|

Witch Doctor #1|Crazy|https://youtu.be/WmYKbv1lydk
Witch Doctor #1|Nightmare|https://youtu.be/VxM-dNVvyfQ
Witch Doctor #1|LightMap|

We Goin' Fly Remix|Crazy|https://youtu.be/SS0t07PBXjk
We Goin' Fly Remix|Nightmare|https://youtu.be/KX1Z6mhf4q8
We Goin' Fly Remix|LightMap|

Special Station / Another|3 Charts|_H

그녀는 피자를 좋아해 (She Likes Pizza)|Another Nightmare|https://youtu.be/P1ZjyBzPm1Y
그녀는 피자를 좋아해 (She Likes Pizza)|Another LightMap|

Bee|Another Freestyle|https://youtu.be/maA5mJet16o
Bee|Another LightMap|

Shake It Up|Another Crazy|https://youtu.be/roNmG0FA1Sc
Shake It Up|Another Nightmare|https://youtu.be/1Oaco9gWMGY
Shake It Up|Another LightMap|

World Tour|102 Missions|_H

영원한 사랑 (Forever Love)|Asia : 01 Seoul 1|https://youtu.be/V8xGSBff2fM

Beat Of The War 2|Asia : 02 Hanoi 1|https://youtu.be/UmZVX_uA80c
Fianl Audition Episode 2-2|Asia : 02 Hanoi 2|https://youtu.be/UmZVX_uA80c?t=137

사랑스러워 (Lovely)|Asia : 03 Tokyo 3|https://youtu.be/JDlcC28x6O0?t=239

One Night|Asia : 04 HongKong 1|https://youtu.be/YFAidGR3It4
불놀이야 (Fire Game)|Asia : 04 HongKong 2|https://youtu.be/YFAidGR3It4?t=117
경고 (Don't Bother Me)|Asia : 04 HongKong 3<br>Freestyle Mission Edit|https://youtu.be/YFAidGR3It4?t=246

Watch Out|Asia : 06 Taipei 2|https://youtu.be/YlbpeAPjGZI?t=122
긴급상황 (Emergency)|Asia : 06 Taipei 3|https://youtu.be/YlbpeAPjGZI?t=239

Hybs|Asia : 07 KualaLumpur 1|https://youtu.be/_FmQ6MflA1o
Chicago Club Remix|Asia : 07 KualaLumpur 2|https://youtu.be/_FmQ6MflA1o?t=123

님과 함께 (With My Lover)|Asia : 08 Singapore 1|https://youtu.be/RClr8nW28x4
긴급상황 (Emergency)|Asia : 08 Singapore 2|https://youtu.be/RClr8nW28x4?t=115
One Night|Asia : 08 Singapore 3|https://youtu.be/RClr8nW28x4?t=235

Bust Back|Asia : 11 Pyongyang 1 (v1.05)|https://youtu.be/PioIxuC3mMY
그대에게 (For You)|Asia : 11 Pyongyang 3 (v1.08)|

We Goin' Fly Remix|Asia : 14 KanG2 2|https://youtu.be/VYVhs5itqno?t=118
Arch Of Darkness|Asia : 14 KanG2 3<br>KanG2 Step Mission Edit|https://youtu.be/VYVhs5itqno?t=241

Arch Of Darkness |Asia : 15 Yasangma 1<br>Crazy Mission Edit|https://youtu.be/y49hzk2TT9Q
Witch Doctor #1|Asia : 15 Yasangma 2<br>Crazy Mission Edit|https://youtu.be/y49hzk2TT9Q?t=123
Final Audition|Asia : 15 Yasangma 3<br>Another Crazy Mission Edit|https://youtu.be/y49hzk2TT9Q?t=242

Beat Of The War|Asia : 16 J.K.D 1|https://youtu.be/n-lFSTxx4SA
Beat Of The War 2|Asia : 16 J.K.D 2|https://youtu.be/n-lFSTxx4SA?t=118
Beat Of The War 2 DnG Ver.|Asia : 16 J.K.D 3|https://youtu.be/n-lFSTxx4SA?t=253

Free Style |N. America : 03 SanSalvador 1|https://youtu.be/p3_wh1PWAjg
N|N. America : 03 SanSalvador 2|https://youtu.be/p3_wh1PWAjg?t=119

Csikos Post|N. America : 05 Ottawa 1|https://youtu.be/xO6_mBRFbLQ
Chimera|N. America : 05 Ottawa 2|https://youtu.be/xO6_mBRFbLQ?t=125
Dr. M|N. America : 05 Ottawa 3|https://youtu.be/xO6_mBRFbLQ?t=253

Final Audition|N. America : 06 Waikiki 1|https://youtu.be/7Pz7EaY1VK0
Final Audition 2|N. America : 06 Waikiki 2|https://youtu.be/7Pz7EaY1VK0?t=120
Final Audition 3|N. America : 06 Waikiki 3|https://youtu.be/7Pz7EaY1VK0?t=237

폭풍 (Typhoon)|N. America : 08 SanJose 1|https://youtu.be/SKyMTiEDKkw
폭풍의 언덕 (Wuthering Heights)|N. America : 08 SanJose 2|https://youtu.be/SKyMTiEDKkw?t=128
Storm|N. America : 08 SanJose 3|https://youtu.be/SKyMTiEDKkw?t=240

Street Show Down|N. America : 09 Havana 1|https://youtu.be/3o3-VeXHNY0
X Treme|N. America : 09 Havana 2|https://youtu.be/3o3-VeXHNY0?t=118
Witch Doctor|N. America : 09 Havana 3|https://youtu.be/3o3-VeXHNY0?t=238

Up Up|N. America : 12 Managua 1|https://youtu.be/VK3JRPF81Lg

너 너 (U)|N. America : 13 PanamaCity 1|https://youtu.be/ZOIIHP_Q4To
N|N. America : 13 PanamaCity 2|https://youtu.be/ZOIIHP_Q4To?t=115
Bee|N. America : 13 PanamaCity 3|https://youtu.be/ZOIIHP_Q4To?t=236

월광 (Moonlight)|N. America : 14 C.H.24 1|https://youtu.be/QhS2VvaTSMk
Beethoven Virus|N. America : 14 C.H.24 3|https://youtu.be/QhS2VvaTSMk?t=242

Bee|N. America : 15 OverDeath 2|https://youtu.be/vYHG3TO26P4?t=124
Canon D|N. America : 15 OverDeath 3|https://youtu.be/vYHG3TO26P4?t=230

Final Audition Episode 2-1|N. America : 15 msgoon 1|https://youtu.be/VeJQ_-hLA9w
Fianl Audition Episode 1|N. America : 15 msgoon 2|https://youtu.be/VeJQ_-hLA9w?t=119
Fianl Audition Episode 2-2|N. America : 15 msgoon 3|https://youtu.be/VeJQ_-hLA9w?t=240

또다른 진심 (Another Truth)|S. America : 02 BuenosAires 1<br>Hard Mission Edit|https://youtu.be/cz_uUpvfWb4
그대에게 (For You)|S. America : 02 BuenosAires 17-2<br>Hard Mission Edit|https://youtu.be/cz_uUpvfWb4?t=115
Com' Back|S. America : 02 BuenosAires 17-3<br>Hard Mission Edit|https://youtu.be/cz_uUpvfWb4?t=245

친구여 (My Friend)|S. America : 03 Santiago 1|https://youtu.be/uleexU5BEsI
사자후 (Sajahu)|S. America : 03 Santiago 2|https://youtu.be/uleexU5BEsI?t=115
Storm|S. America : 03 Santiago 3|https://youtu.be/uleexU5BEsI?t=231

Phantom|S. America : 05 LaPaz 3|https://youtu.be/CuHrJjHid3Q?t=233

발자국 (Footprints)|S. America : 06 Quito 1|https://youtu.be/mSqU5j4mlcw
자유로와 (Free!)|S. America : 06 Quito 2|https://youtu.be/mSqU5j4mlcw?t=127
현진영 Go 진영 Go (Hyun Jin Young Go Jin Young Go)|S. America : 06 Quito 3|https://youtu.be/mSqU5j4mlcw?t=248

HOT 뜨거 (HOT)|S. America : 07 Caracas 2|https://youtu.be/6lotXQHg_X0?t=131
